hoof001gran01_01.TEI.2.text.body.div.head.885.s.1	P.C. hoofd GranidaSpel	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5450.s.1	verheugd , mede blij gelaat komen wij hebben hof te moeten .	Joy_Emotion_BodyPart_BodilyProcess
hoof001gran01_01.TEI.2.text.body.div.div.sp.5450.s.2	zien daar de koning zelf .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5455.s.1	die ik hij vallen te voeden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5455.s.2	Ach vader !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5463.s.1	welkom , ik dochter , staken u vrees ; En ghij die ik voortaan een waarde zoon zullen wees ; de god wil volch ik .	Fear_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.5479.s.1	Heer , hout deze voor doen schoon tempel , die doen liefde zien vercoor Om een voor al te tonen zijn heerlijkheid te stillen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5479.s.2	gunnen , heer , die eewelijck elckander zijde versellen , En die de Hemel binden , ik koning , niet en scheiden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5479.s.3	deze lot eisen ik allee vinden u grootachtbaerheit , Voor al doen dienst die ik leven haar ooit deede .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5483.s.1	Ach , edel prins !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5490.s.1	Nu stellen u gemoed in wreed , Ach , twijfelen lang niet , ik kind !	Emotion_BodyPart_Relief
hoof001gran01_01.TEI.2.text.body.div.div.sp.5490.s.2	niet zo blind En zijn ik of ik zien , die zonderling bewind de god bezig zijn mede uw te samen hecht .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5494.s.1	Ach , onverdiend troosten !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5500.s.1	Dochter , uw op wild recht , En ghij , Daifilo , rijzen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5510.s.1	laat , god , hebben geluk , In tegendeel vinden deze , mede de voorgaand druk Vernoeghen , of , en zijn daermee niet te betalen , laat hebben doen resten op ik , niet op ik Lief verhalen ; zo het zijn kan die ik smaak hebben geren zijde niet en smaken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5510.s.2	Ach , koning !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5525.s.1	Daifilo , ik dochter zijn schaken vinden wijsheid en verzien verstand , die haar bereiden de alderhoochsten weg , en tot doen Liefde leiden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5525.s.2	zijde laten om uwentwil hebben overladen rijk , bezit hebben nu mede haar voortaan minnen commerlijck ; diets mijn , diets doen willen de god wijze vinden raden .	Worry_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.5536.s.1	kleed zij doen danckbaerheit , en lof vinden u genade nul koning , bij ik zijn , indien die ik verstaan dat verclaerbaer waar mede menschelijcke mond : de ik hebben minst niet bestaan mogen uiten te spreken .	Joy_Emotion_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.5547.s.1	Een zoon vinden pers kan het aen gene staat gebrek , de , Tisiphernes , niet u heerschappij verlaat .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5547.s.2	wijden danken uw die ghij uw zelf , nog u staat verschonen en hebben , om deze gelieven t'saem te voegen : Ghij hiellept enten verdrieten , nu hellept enten verheugen .	Joy_Emotion_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.5547.s.3	En ghij , gelieven , komen , verkwikken uw vinden u moeite .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5554.s.1	ik zien ik wensen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5554.s.2	de Parth gevangene , en geboeyt Vergeeve ' ik zijn misdaad , wil't Daifilo vergeven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5562.s.1	zijn voornemen moorden wij dienen tot hebben leven , ja trouw , ik vergeef't ; en prins doen u sin.	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5566.s.1	Lof god wonderwijs !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5570.s.1	Lof groot Liefd en minnen !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5577.s.1	god en koning wil staken de gelieven tegenspoed , Liefd en min , lof u gloed Die zijde zonder smarten smaken !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5588.s.1	groot god , niet om raken zijn doen grond vinden u besluiten , het wassen u lusten deze huwelijk manen voeren mede gunst doen bruiloft uiten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.5603.s.1	Liefd en minnen aen een vertuien , beide ziel en lichaem-mengers , heilig ' oppervrientschap-strengers zaligen bruidegom , en bruid .	None
hoof001gran01_01.TEI.2.text.body.div.div.p.5605.s.1	einde	None
hoof001gran01_01.TEI.2.text.body.div.div.p.5614.s.1	Al walen hebben .3 1605 1	None
