stee033tham01_01.TEI.2.text.body.div.head.198.s.1	Thamas Koelikan , of doen verovering vinden hebben Mogolsche rijk ; Treurspel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2592.s.7	die ik en ik slachten een loten te wacht staan , uw eedle goedheid , of u wrekende ongenade !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2596.s.1	ik angstig harden bezwijken in doen yslykste ongeluk .	Fear_Emotion_BodyPart_BodilyProcess_Unhappiness
stee033tham01_01.TEI.2.text.body.div.div.sp.2615.s.1	Doemwaardig voorwerp !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2615.s.2	blozen om all ' u gruwelstuk .	BodilyProcess_Shame
stee033tham01_01.TEI.2.text.body.div.div.sp.2615.s.3	die Nizamelmoluk , door waar dapperheid , mede Milko uw beschamen ' !	Emotion_Shame
stee033tham01_01.TEI.2.text.body.div.div.sp.2615.s.4	zien heen te dood bereiden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2615.s.5	uw , laffer dan doen minst uiten al uw onderdaan , verwijfd moordenaar !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2615.s.6	uw vroeg ijdel traan .	BodyPart_Shame
stee033tham01_01.TEI.2.text.body.div.div.sp.2615.s.7	Beklee de rank , die uw een overwinnaar schenken : Door die verheffen worden u glorie niet krenken , Nu het kroos vinden Mahomet hebben erfrecht hebben verliezen : ik winnen voor ik ' zode deze rijk , aan uw te lid beschoren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2615.s.8	delen , mede die janhen held , deze rijk alles keizerin : hij zijn geren dwingland ; neen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2615.s.9	die prins verdiend u minnen .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.2612.s.1	Tegen Milko .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2620.s.1	Ik paar mede de zode , terwijl doen wraken de vader ik bloedverwanten moord !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2630.s.1	Ik straffen doen krygsverraders : u maagschap , het vorstelijk bloeden , worden door ik ' zode redden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2630.s.2	doen glorieryke nicht vinden snood Mahomet zullen , mede ik ' zode paren , ik ' lustre niet bevlekken ; En het huwelijk mede die prins uw tot geren schande strekken , Al worden u bloedverwant , die het rechte de volk honen , Door ik gerecht wraken vinden doodstraf niet verschonen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2645.s.1	Ik hebben , uiten goedheid , niet uiten zuchten tot euveldaad , Een ' edelmoedig ' held , mare meest myzelv ' verraden ; Myzelv ' , die , hopeloos , doen afgrysselykste smarten , Een knagen naberouw , gevoelen in het stervend harden .	Emotion_BodilyProcess_Sadness_Remorse
stee033tham01_01.TEI.2.text.body.div.div.sp.2645.s.2	hebben doelen vinden Alikan zijn ik te laten blijken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2645.s.3	hebben voegen uw , Nadir !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2645.s.4	vinden mijn ontrouw uw te wreken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2645.s.5	denken echter , zode u gul ik droef bede verhoren , die ik , onschuldig in het bestemmen vinden de moord , vinden het misdrijf onbewust , door Alikan dringen , u leger deze nacht mede weerzin hebben bespringen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2645.s.7	verhaasten u wraken ; slachten , slachten uw offerhand ': mare stellen geren ' keizer bloot aan openbaar schande ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.2649.s.1	Nizamelmoluk , tegen Nadir .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2666.s.1	het voegen uw , doorluchtig held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2666.s.2	u wraakzucht in te tomen , Totdat gij uiten Alikan doen waarheid hebben vernemen ; Totdat uw zeker blyke , uiten zijn bekentenis , Of keizer Mahomet aan moordzucht schuldig zijn .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2666.s.3	doen ontrouw gunsteling , die , aan het hoofd de muitelingen , de hopeloozen vorst tot strijd durven dwingen , Ja al het Mogolsche heir , in mijn afwezendheid , Door schijn vinden waar trouwen arglistig hebben misleiden , moeten , eer gei het vonnissen vellen , zode hij u bende sparen , Door dwang , door pyniging , uw al openbaar .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2666.s.4	gei zullen , zode Mahomet geren lyfsgenae verwerven , En u verblind wraken zijn waardig kroos onterft , Nadat uw doen onschuld vinden die keizer zijn blijken , Door het schenden vinden uw eer hij op uzelven wreken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2666.s.5	Bedwing u woede , of duchten een eeuwig naberouw .	Emotion_Anger_Remorse
stee033tham01_01.TEI.2.text.body.div.div.sp.2675.s.1	gei tergen mijn eedle wraken door u vermetel trouwen .	Emotion_Vindictiveness
stee033tham01_01.TEI.2.text.body.div.div.sp.2675.s.2	verbloemen geren gruweldaen : hebben zullen uw niet geluk Een ' koningsmoordenaar aan het wrekend stalen te ontrukken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2675.s.3	aanschouwen , arglistig !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2675.s.4	eer ik grimmigheid bedaar ' , bij het vroeg morgenlicht , zijn straffen in het openbaar .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2675.s.5	doen dagge vertoeven te langen : ik woede zijn ongeduldig .	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.2679.s.1	zijn deze u deugd ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2679.s.2	wreed !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2684.s.1	o Nadir ! ik sterven onschuldig .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2684.s.2	o Angstig Indostan !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2684.s.3	o schande !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2684.s.4	o dierbaar kroos !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2688.s.1	rampzalig monarch !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2688.s.2	uw onschuld zijde u troosten !	None
stee033tham01_01.TEI.2.text.body.div.div.stage.2694.s.1	Nadir , Mahomet , Milko , Nasser , Nizamelmoluk , Semire , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2699.s.1	doen dood vinden Alikan bevredige uw , ik vader !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2699.s.2	gei zijn wreken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2709.s.1	bewenen gei die verrader ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2714.s.1	Door hij zijn ' Mahomet vinden het misdrijf vrygekend , Indien ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2734.s.1	verbannen u vrezen , zien het einde ' vinden uw elend ' .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.2734.s.2	ik vorst , ik poog vergeefs die hoofd de moordenaar , te openbaar straffen , na u bevel te sparen , En zoeken hij in de strijd ; wanneer zijn vloekgespan In wanhopen roepen :  ik sterve , of veilig Alikan !	Emotion_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.2734.s.3	 Ik , mede een delen vinden het heir de vijand nagetogen , Stoutmoedig op hunn ' schrik , vinden schielijk ik bedriegen .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.2734.s.4	Ik geven , terwijl ik wij dolzinnig weerstreven , ik aarzlend krygsvolk moede ; ik roepen :  Vorst Nadir leven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2734.s.5	 rampzalig Alikan , door wij op nieuw bespringen , Door het sneuvlen vinden zijn volk tot overgaaf dwingen , spreken , dodelijk wonden , zijn ' vorst al stervend vrijen vinden opgestemden moord , vinden krygsverradery .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2734.s.6	Welhaast worden al het gevolg vinden Alikan verklaren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2734.s.7	Door zijn bekentenis behoeden ik zijn keizer maag , Zodra het verwinnend heir , zelf zonder tegenstand , In zijn vijand legerstede u zegevanen planten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2742.s.1	zullen Nadir op zichzelv ' in het einde triomferen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2742.s.2	Of zullen gij , uiten blind wraken , u ' groot naam onteeren ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2742.s.3	Een ' vorst verwijzen , die meedoogendheid verdiend ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2742.s.4	Hoe zullen gei Mahomet ontmoeten ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2761.s.1	alles ik ' vriend .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2761.s.2	o Keizer !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2761.s.3	worden doen honen , uw t'onrecht aanwrijven , vergoeden door Indostan , mede vreugde uw weergeven ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2761.s.4	zullen uw ervarenis , uiten haten tot ydlen lof , doen vleier , tot u heil , verbannen uiten u hof ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2761.s.5	zullen gei , nadat uiten weelde u ramp zijn spruiten , doen plegen , doen dartelheid uiten u paleis verstoten ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2761.s.6	Ja toon aan u volk , door loffelijk staatsbeleid , die gei gelukkig worden door u rampzaligheid ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2761.s.7	zullen Nizamelmoluk uw steeds te raadsheer strekken ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2761.s.8	zullen Milko mede ik ' zode een ' edel echt voltrekken ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2761.s.9	achten gij u genegenheid ik waardig ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2761.s.10	staan gei toen die ik mijn eis , in u rykstad , zelf voldoen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.2747.s.1	Nadir omhelzen Mahomet , en vervolgen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2766.s.1	zij Nadir iets vergeefs op Mahomet begeren ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2766.s.2	ik zullen onophoudlyk uw alles ik ' beschermer eren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2771.s.1	o Onvoorzien geluk !	Emotion_Happiness
stee033tham01_01.TEI.2.text.body.div.div.sp.2776.s.1	gei tonen , volmaakt held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2776.s.2	die gij in grootmoedigheid u hoogst glorie stellen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2784.s.1	laten wij , nu al het verraad , al het krygswee , zijn verdwijnen , wij beide legermacht in waar vrede verenen ; Opdat u oorlogsvolk blijmoedig ademen halen ' , En doen overwonneling op doen ontrouw zegepralen ' !	Joy_Emotion_BodyPart_BodilyProcess
stee033tham01_01.TEI.2.text.body.div.div.stage.2786.s.1	EINDE .	None
