rivi001vero01_01.TEI.2.text.body.div.head.230.s.1	doen verovering vinden de Briel , Of grondlegging de bataaf vrijheid .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.2967.s.1	Vander Mark , Entes , Treslong , Rochus , Gevolg vinden edel , Bootsvolk en soldaat .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2984.s.1	Bossu zijn rijden op wegge na dorren , en zo ik ontdekten , uiten iemand die terstond doen Dortsche veest verlaten , zijn het zeker die hij zien daar buit houwen zien ; doen poort zijn daar toen , zij deur dicht sluiten , En zijn Burgerstegenstand zullen hij hebben hoofd doel stoten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2984.s.2	Wat wassen het wij aangenaam doen spanjaard , vuil beslikt , modderen of doornat , al beven en verschrikken , In hun vluchten , te zieden en tergen ' naar te jagen !	Fear_Emotion_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.2984.s.3	Dus aanzien wie vinden heen nog sommige verslagen , Die , worstelen ' mede de dood , zien in hebben diep moeras Verschoolen , daar wij stalen of lood heen dodelijk wassen , En pijnlijk brengen omhals ; wan niemand krijgen genadig : Ik laghten om het gesmeek , en wreekten mijn schade En het zielsverdriet die elk vinden heen aan d ' ons deedt .	Emotion_Sadness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2998.s.1	gei , Entes , zijn zo braaf alles ik een krijgsman weten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2998.s.2	gei tonen uw in het geheel vervreemden vinden mededogen , Wylu het Maraans geschrei nog nimmer hebben bewegen !	Emotion_BodilyProcess_Compassion_Despair
rivi001vero01_01.TEI.2.text.body.div.div.sp.2998.s.3	gei volgen ik schrede naar , hebben geestelijk kleden te haten , Waarin een lichaam steken , heerszuchtig , trosch en kwaad , Ja onverbiddelyk in heil - en voor spoedsdagen , wie tong , in tegenspoed , door wenen en door klagen , Altoos na uitkomst zoeken , en wij de Hemel sluiten , Of openen , zo het zij lusten ; schonen ik zulks nimmer stuiten , nog u gerecht wraken in het minst doen verkouden .	Emotion_EmotionalAction_Hatred_Unhappiness_Other_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.stage.3003.s.1	Vander Mark , Enthes , Treslong , doen rijk , Rochus , Gevolg vinden edel , Bootsvolk en soldaat .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3016.s.1	u zege , o wakker graven !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3016.s.2	zullen nu zij loopbaan houwen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3016.s.3	doen walen zijn alreeds uiten Vlissingen verhuizen , doen bouwer vinden het Kasteel verjagen , zij werken vergruizen En ganschlyk omwroeten : doen Burger zullen beletten , die enig spanjaard rotten weerkomt zijn Stad bezet .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3016.s.4	Nogmeer , mijnheer , nogmeer ; geren zwak burgerij , mare doen regering zelf verkiezen oranje zijde ' En deedt uw , door vinden Erp , om hulp en bijstand vragen Eer gei hebben spaans gespuis vinden hier hebben wegslaan , Of eer ik denken die zulks zo wel geluk zij ' .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3024.s.1	doen Brielsche Burgerschaar , die ik nog niet velen betrouwen ' , beletten ik die ik thans geren sterk helpen kunnen geven ; Doch al die nieuwelings bij wij zijn ingeschreeven , minnen vinden geweer bedelen , dan trouwen voor het Vaderland , Laate ik volkomen vrijen te gaan na het Vlissings stranden .	Emotion_Loyalty
rivi001vero01_01.TEI.2.text.body.div.div.sp.3036.s.1	ik zijn daar meer voorzien vinden krygsnood wendigheden , Dan vinden stoutmoedig om ander voor te treden , Die ik straks volgen zullen en vinden geweer voorzien ; Daar zijn slechts volk vinden doel om d ' opstand helpen te bieden : vinden Erp hebben deze de Prins , in Dillenburg , doel weten , En zijn Doorluchtigheid zullen het nimmermeer vergeten , zo , door u zorgen , die Stad voorhem verzekeren woord , die Alvaas zeemacht krenken , zijn Landgebied verkorten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3044.s.1	ik moeten eest doen burgerij en Dorpeling doel zweer , de Vorst alles graven , de Prins alles Stedehouder , teeeren , En het Vaderland getrouw te blijven tot ' er dood : Wanneer zulks zijn geschieden woord liggen ik macht zo groots , die ik doen Vlissingers meer bijstand toen kunnen zenden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3063.s.1	het Geluk schijnen meer en meer op ons zijde ' te wonen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3063.s.2	wie zieden vinden tij tot tij , elk uur , elk ogenblik , velen ' uitgewekene , vinden d ' allereerst schrik , Door ons overval veroorzaken , zien herstellen , En karn in de Briel , om wij , alles metgezel , te dienst vinden de Prins , kloekmoedig bij te staan ; Welk heus verzoek gei zij onmogelijk af kunde slaan .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.3063.s.3	uiten Vlaandren naderen wij vieren welbekend held , vieren heer , die altoos zien in doen bres steldden vinden het landen , ( vinden schoon waal , vinden Watervliet , kasteel , En Haverschot , ) daar elk vinden heen zien door een delen navolger zien verzeld , en door landeigen boer , voorstander ons zaak , die , door doen tong te roer vinden Alvaas boos bedrijf , de dwingland zijn ontvluchten , Om , onder u beleggen , in aangenaamer luchten , In deze Stad , mede wij , zijn ' aanval af te wachten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3075.s.1	Al wij zijn ' plicht , te dienst de landen , willen betrachten , vinden hier , door wij beschermen , een vasten en zeker wijken , Nu Vrankryk , Engeland , en het Duitsche keizerrijk , Aan wij een menigte kloekhartige soldaat , Oranje te geval , haasten zullen overlaten , Om aan de Kastiljaan meer stellen vinden zijn Te ontrukken : dus sterken woord Hollands volk weer vrijen , En zullen zien , mede doen Zeeuw ' en kloek Stichtenaaren , vinden Vorst Philippus zelf nog doel voor vrijen verklaren .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.3081.s.1	Vander Mark , Entes , Treslong , doen rijk , Koppestok , Philipszoon , Rochus , Elizabeth , Kornelia , Frederik , Maria , Gevolg vinden edel , burger , vrouw , boer , kind , Boetsvolk en soldaat .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.3084.s.1	Koppestok , tegen vander Mark .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3098.s.1	mijnheer , al het volk doen uw verzoek , deze nacht , doen vol vrolijkheid te vier in zij kracht .	Joy_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.3098.s.2	doen burger altemaal , mede kind en vrouw , Verzinnen elk wat nieuw te eer vinden Nassouwen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3098.s.3	hebben Zee volk smijten doen muts mede blijdschap toorn oog , En roepen ,  Prins Willem leven !  uiten de soldaat ogen blinken hun heet lusten om spanjaard op te zoeken , zijn zijde te vinden zijn !	Joy_Emotion_BodyPart_BodilyProcess_Desire
rivi001vero01_01.TEI.2.text.body.div.div.sp.3098.s.4	het Krioeld in al hoek vinden deze verlossen landen , daar elk nu blyder tij , Door u bescherming wachten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3098.s.5	gei hebben de Briel bevrijden , En ons burgerij vinden streng lassen ontheffen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3098.s.6	Nu moeten gij aan zij de smaken vinden het zoet de vrijheid geven , En laten al vreugde een onbepaald genot .	Joy_Emotion_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.3101.s.1	Entes , tegen vander Mark .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3113.s.1	Ja , vieren doen dertelheid nu een het volkomen botten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3113.s.2	laten ieder na zijn ' lusten verspillen en verteren ; Door het gelden verdoen zullen het volk te goed roven lederen : Dus woord mede zijn Vyandsschae , het verliezen weer inhalen , En al wat elk verkwisten , uiten Spanjes kast betalen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3113.s.3	zo leven wie vernoegd ; dus zijn wie waarlijk vrijen ; zo blijven wie verplichten mede dapperheid te stryen ; Dus trekken hier ieder wat vinden ons oorlogsbuit ; zo schudden de Spaanschen zeef hier Peruus goudmyn uiten , zijn vinden zien menig mens kunnen voeden en generen ; Dus geven ik vreugde uiten winst , en blijdschap in het verteren .	Joy_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.3135.s.1	deze volk zijn meer geneigd tot zuinigheid ; nun aard zijn spaarzaam ; mare hebben gelden , door heen bij een vergaren , zijn veil en bij de hand , wanneer het zij opperheer , zijn land staat , door de node dringen , slechts begeren , En nodigen rekenen tot welzijn vinden hebben landen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3135.s.2	Dus sparen wie mede vlucht en geven onderstand , alles het billijk woord vereisen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3135.s.3	mare alles ik wij , door schenning vinden rechte , om plegen en praal te voeden , de tiend Stout afdwingen mede wellen , dan grijpen deze vrede zaam volk velen minnen in hun beurs , dan na musket en Dolk .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3135.s.4	geren gierigheid hebben wij een bede aan graven of Koning doel weigeren ; mare zijn raden , wel ver vinden verschoning Te geven , drukten wij te meer ; zij hovaardij houden nederland volk alles slaaf de Spaansche pronkerij , minnen eigen aan de Vorst dan aan zijn ' hoveling ; deze deedt wij weigring zijn en uiten de beugelen spring .	Emotion_Greed
rivi001vero01_01.TEI.2.text.body.div.div.sp.3135.s.5	Dus kunnen doen spaarzaamheid een landen behoudens ; mare Onnut verspillen brengen Volk en rijk in gevaar .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.3138.s.1	Vander Mark , nemen een Speer vinden iemand vinden het volgen , planten dezelve voor op hebben toneel en zetten ' er vervolgens een ' wit hoeden op .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3201.s.1	zien hier Lumey doen Speer de vrijheid nederzetten , En kronen mede de hoeden die maag ; beschermen doen weten vinden Hollands vrijen staan , dan zullen hij veilig staan , Wenhem oranje zorgen versieren mede lauw blad , En staat - en Krygslast torsen op zijn door lucht schouder : hij zijn doen eerst stemmen de raad , hij zijn ons Stedehouder , En ik , alles Admiraal , volvoeren alhier zijn ' lassen : hij zullen Toledoos juk , die nooit u schoudren passen , Afwerpen vinden u ' hals : hij werft wij bondgenoot En leger , voor zijn gelden , en sterken ons Oorlogsvlooten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3201.s.2	geren Alva zijn bij wij alles Landvoogd meer in achten , nog geren Bossu hebben hier stadhouderlijk macht : zijde zijn geheel onwaard in Holland te gebieden : Neen , Koningsslaaven , neen , gei zijn bij vrye lied Gehaat , alles al te streng , te bitter slaafsgezind , Te doof voor het Burgerrecht , verbijsterd en verblinden Door het Kroonengoud ; de Staf te zieden doen heen verbleken Of blozen ; mare doen Prins durven voor u recht spreken , En voor u vrijheid zelf de Sabel zwaaien !	Fear_BodilyProcess_Shame
rivi001vero01_01.TEI.2.text.body.div.div.sp.3201.s.3	hij zijn meer zijn land Vader nog dan Hoofd de staan voogdij !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3201.s.4	hij , uiten hebben Duitsche bloeden , uiten vorstelijk loot , uiten Keizer Adolphs Stam roemruchtig voortspruiten , verheffen hebben Nassauws huis , door deugd , in heerlijkheid , ver ' boven al rank en al Majesteit .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3201.s.5	deze strepen drie gekleurd merken , deze Vaandel vinden Oranje , Beschermd door zijn Prinssen arm en Hollands Leeuw , zullen Spanje Nog strekken tot behouden , naar zijn Konings hoogmoed En het vrijen Batavisch volk , mede lustre , zegepralen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3201.s.6	Oranje strijd voor het landen , uiten vaderlijk ontferming ; uiten liefde voor deze Volk en teder zielserberming , putten hij zien zelf uiten , verteren zijn gelden en goed , En steken zien diep in schuld , ja wagen zijn vorstelijk bloeden : wie vechten slechts om roven en om wij rijk te maken ; mare hij woord , strijden , arm , vechten om u boeien te slaken , En om doen vrijheid hier te vasten op zij ' tronen !	Emotion_Love_Compassion
rivi001vero01_01.TEI.2.text.body.div.div.sp.3201.s.7	volgen dus zijn Hoogheid naar , dan staan doen kans wij schonen , Om zulk een ' vrijen staan in Neerland op te richten , die menig Koning kryk voor zijn macht moeten zwichten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.3201.s.8	intussen laate ik elk hebben vreugdbedryven toen , die ieder zijn geluk door juiching blijk doen ; Nu Spanjes overmacht deze Eiland moeten verlaat staan ons Zege vasten ; nu aanzien ik soldaat eest rechte verwinnen ; nu , nu zijn doen burgerij vinden Voorne en vinden de Briel verlossen vinden dwingelandij .	Joy_Emotion_EmotionalAction_Happiness
rivi001vero01_01.TEI.2.text.body.div.div.sp.3201.s.9	terwijl hier doen eerst grond te vrijheid zijn liggen , zullen ons Oranjevorst , mede zijn Heldendegen , doen streng koord , die wij tot nog aan Spanje bond , ontknopen mede verstaan , en deze staatzieke winden , Waaruit helen Neerland bloeden , zo wijze heilzaam heel , die hier geren Kastiljaan weer komen voor meest Daar het dankbaar Nageslacht , meer dan doen Tydgenoot , wij braaf bestaan beroemd , gelijk zij macht vergroten ; Ja Hollands moedig Volk zullen vreemd koninkrijk , En koning , voor zien doel buigen en bezwijken .	Emotion_Other
rivi001vero01_01.TEI.2.text.body.div.div.sp.3201.s.10	vuren dan een ' blijde dagge die Neerland dierbaar zijn , En , in de vrijen harden , in heilgedachtenis vinden eer blijven zullen , zo langen zij Nageslachten hebben slaafs juk weerstaan en doen edle vrijheid acht .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.stage.3165.s.1	hij plaatsen hebben Oranjevaandel naast doen Speer en Vryheids hoeden , zetten vervolgens , aan doen ander zijden , hebben hollands Wapen .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.3203.s.1	Einde de vijfde bedrijf .	None
