vond001pala01_01.TEI.2.text.body.div.head.375.s.1	J.V. Vondelens Palamedes of Vermoorde Onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2990.s.1	TH.	None
vond001pala01_01.TEI.2.text.body.div.sp.2992.s.1	Thersites ook	None
vond001pala01_01.TEI.2.text.body.div.sp.3016.s.1	Argivische landouw , mijn oog zien de rook opgaan vinden uw branden , en Calches ondertussen Die wiegen hebben volk in slaap , en niemand trachten te blussen hebben vieren , die in zijn as vasten smeulen en heimelijk smoken En die uw hoed zullen , die zijn hebben , die deze stoken , En uit besondren wrok geven voedsel deze vlam , roemen op geren ' lang rijden vinden oud vadrenstammen , Op hof schonen vinden bouw , noch stellen tros vinden muur : ik slopen ik slechten ' et al op deze onsalige uur : ik vellen gezwind te neder , wat langzaam zijn klimmen .	Emotion_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.3016.s.2	goed griek rukken om ver die zuil de vorstendom .	None
vond001pala01_01.TEI.2.text.body.div.sp.3016.s.3	de Athlas , die het gebied mede zijn schouder schraeght , En onverwickelijck die groots gevaerte dragen : Die onlangs hebben vrijen u ' dierverpande stellen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3016.s.4	goed griek , smoren doen ziel vinden u ' gerechtigheid : Verworght u ' trousten raad in zo velen ongeval : u ' vryheyds voorspraak rukken doen tong uit zijn hals .	None
vond001pala01_01.TEI.2.text.body.div.sp.3016.s.5	mijn ziel smelten aen luchten , en Pylus mijn been Ontfange , eer die ik horen de griek vallen bewenen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.1	ACh !	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.2	waar toen of de god onbescheyd befaamd deugd hier rusten en vrede ontseyd : En zonder staf , en aarzelen doen gaan zo steil een pad , zo wild en woest een ' bidden : Door kreupelbos , door wegen ruig begroeien , En onbestraet : daar elcke stappen vermoeien Een ' arbeydsaem hardvochtig ' manna , telen Om barrevoets schoeien te gaan mede eelt : daar vrouw natuur zaaien hebben scherp gesteente , die zweten doen zelf reus langgebeent : Daerme ' eenzaam dwaelt : daar zonder spoor of pad , Voor het oog geren ' spits verrijzen vinden vlek of stad , zo zwaar een weg , vinden zijn hemel hogen trans , drijven Junoos wrok de bastaerdsoon haers man geweldig in : het geklater vinden haar ' zweep vinden kindsbeen af zijn ' grof kracht slepen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.3	Voor d'eerste proeven het wicht mede zijn hantjes grijpen Twee slang aen , die het fluks te barsten knijpen : doen voedster scheppen haar ' doodverw , en zien stom zijn kind vuystjens zwart vinden adders om en om .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.4	zijn ' stiefmoer stag razen op Alcmene boos : alles zijde hij zien vinden Hydra , leeuw , en Reus , vinden Diomeed , Busyr , en stuur , en Beer , En Kakos moord mede zege komen weer : En gesp , tot verwondering sijner eeuw , Om zijn barsten doen slang , en fier leeuw : harnassen , overgeleecken held , mede die hij vrezen , en moedig hebben vellen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.5	Wat gruwelijk wat schrikkelijk gedrocht luchten , Zee , en aarde in het liggen te voorschijn brengen , die liggen kneuzen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.6	elk Hercules daad prijzen , waar Phoebus glans verguld's Aerdbodems lijst .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.7	doen faam zijn roemen voeren over al zee .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.8	zijn godheid worden kerckpleghtigh aengebeen : vinden daar doen zon doen beide moor verven , Tot daerse daelt , en in doen baar sterven .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.9	mare endelijck zo breken hij mede zijn ' knots te poort in de onderaerdschen god : de schim rijk naar boven openen lach : het sprieten ooghter al slaan vinden de dag .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.10	vinden derwaarts hij opdonderen onversaeght , En voor zien heen de zwarte rekel jagen : vuren , korten , en vlijen doen keten mede zijn hand , waar met hij fors de dryekop lei aen band .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.11	mede zwijmen doen zon , en het liggen ontsonck zijn ' ziel , En alles een kleden doen nacht op het Aerdrijck vallen , vinden schrikken en vrezen .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.12	hij drijven de gruwel voor , En voeren hij zo doen Griecxsche stellen door .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.13	zo hebben doen vuist vinden Hercules klemmen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.14	ik zien nu aarde en onderaards temmen , alles hij zijn hoofd door zijn hemel nave steken , En onderschoorde hebben liggen gestarrent dak .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.15	Alcides deugd genieten deze tot haar ' lot , die hij om oog mede d'eeuwigheyd de god Omtoogen waard : en slaan het hoofd om laag rook het wierook , die vinden d'outers opwaarts stijgen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.16	Alcmenaes zoon , die zulk een ' glorie kreeght , Wat baetet die gij het Aerdrijck hebben vegen vinden ongedierte , vinden menig tiran , En die doen god uw bruyckten tot hunn ' wannen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.17	alles sedert u ' vergoding d'Opperhel , naar oude aard , wat gruwzaam zijn , en fel , weer hebben telen , en rockent enkel kwaad : alles het onkruid weer vertreed hebben edel zaad ?	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.18	Och !	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.19	of gij nooit vinden wij scheiden woerd .	None
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.21	hebben gij doch staken uw hemelvaart : zo zullen wij ' barsten niet zucht naar om oog : nog ' tranendou neerbigglen uit wij oog .	BodyPart_BodilyProcess_Sadness_Despair
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.22	zo zullen wie niet durven d'oude vreugde : nog ' treurig zien , hoe d'hooghgemelde deugd zo overvalsch betichten worden , en bekladden : Hoe het heilig bloeden het meinedig zwaard bespat : Hoe d'oppervorst , en al guit tolk , die edel brein te roven geven aen het volk : het welk opgeruyt , door vorst en priesterhaet , In zijn bederven mede blijdschap weiden goed .	Joy_Emotion_BodilyProcess_Sadness
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.23	Nu razen en woeden d'onwetende menen , En ons staat voorboghtigh overleent : ' Thans alsme ontwaeckt , en slaan zijn ' dolheid gade .	BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.24	komen naberou , en klagen velen te spade ' Thans alles zijn man deugd naar logen mest en damp opbeuren hebben hoofd , en blinken alles zijn hemel lamp .	Emotion_EmotionalAction_Remorse
vond001pala01_01.TEI.2.text.body.div.sp.3116.s.25	Dan zullen het gehuyl betuigen wij hij wassen : mare te vergeefs bevochtigen fijn as .	EmotionalAction_Sadness
vond001pala01_01.TEI.2.text.body.div.head.3118.s.1	doen vijfde handelen .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.3123.s.1	bieden .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.3123.s.3	NEPTUYN .	None
vond001pala01_01.TEI.2.text.body.div.sp.3128.s.1	vervloekt , afgrysselijcke , en deerelijcke moord .	None
vond001pala01_01.TEI.2.text.body.div.sp.3128.s.2	Verfoeylijck schelmstuck , waar hebben ik ooit horen vinden zulk een ' gruwel ?	None
vond001pala01_01.TEI.2.text.body.div.sp.3128.s.3	kunnen de Hemel die gehengen !	None
vond001pala01_01.TEI.2.text.body.div.sp.3128.s.4	wij zien doorluchtig bloeden ooit schandelijcker plengen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.3133.s.1	Die nederlaag wij verhaal : vertellen vinden stuk tot stuk ik broeder uitgang , en beklaeghlijck ongeluk .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.1	zo fluks doen rechter naar velen overleg te lest hij gaaf zijn Krijgsvolcx grim , en hevigheid te goed .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.2	tijgen al doen Pelopeesche , en Ithakoische schaarde naar zijn opperhoofdmans tent , en legerplaats , daar ik Palamedes houden verzekeren , en gevangene , En paap Eurypilus hij sterkte , om zijn gang Te strekken naar doen dood troosten , en wel gemoed .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.3	mede zo spreken Calches : gij die ons al bloeden En leven op een ' prijzen gezet hebben , en uw merkelijk bezondigen , en misgaan aen het weereldlijck , en het kerkelijk : doen goedig menen die vorderen uw tot straffen : u jong tij zijn hier , dus breken deze marren af .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.4	d'Euboeer vorst die rijzen vinden daar hij wassen zitten , En spreken : nul mennen die verhitten zijde en bijten Op mijn onnooselheyd , wat zijn deze voor een ' wijze ' , die veertighjaerge dienst , en zo velen slavernijs , mede storting vinden bloeden vergelden worden in het eend ?	Emotion_BodilyProcess_Anger_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.5	zijde krijten : lantverraer , Jupijn u ' meyneed schenden : gij hebben uw vonnissen weg .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.6	hij zwijgen , en treden voor heen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.7	zijn ' recht zijden komen d'Aertswichelaer bekleden , doen slincke Eurypilus , en scheen zien t'erbarmen .	Emotion_Compassion
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.8	Een Cephaleensch soldaat rechte voor hij op zijn arm het kwansuis meinedig gouden dragen in een ' beukelaar .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.9	zo gaan hij moedig , en mede voegelijck gebaar : Bedrommelt , en bestuwt vinden Krijgslien , en vinden tros , En vorderen zijn ' tred naar Idaes hoog bus .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.10	Een heuvel ryster aen de voeden de berghs , die schuyn groeien alles een schoutooneel : vinden wie verheffen kruin En toppunt , alles doen vlieden werf het anker in deze have , Een ' kerk doen zon wijden , geciert mede rijk gaaf , verstrekken een ' baak in zee : vermits doen God , die koorts Voor d'ooster gevel braaf te prijken staan mede een ' toorts : wie goud flonkervlam natuurlijk scheiden te licht , En dag te zenden op de mens aengesichten .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.11	Nu liggen die schonen gebouw schenden , en ontsloopt , En d'haylge steen hier en ginder ophopen , doen vorig heerlijckheyd besteenen , en beschreyen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.12	ons krijghsvolcx moedwil in die Godenprael gaan weiden , En branden , en blaeckt'et al .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.13	d'aertswichelaer staan stom , En lachen om het plunderen vinden Phebus heyligdom , En grenickte , alles hij zien , hoe het schuim de mens veilig , Een schouwspel maken vinden de Phrygiaenschen heilig .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.14	deze eertijds een ' gewijd en afgekeurde plaats , Nu een verspogen vloek , na'et woeden de soldaets te vadermoord doemen , mede gruwelijk woord , vasten grimmelt vinden hebben volk , die zwart vinden al orde Hier dringen , en t'samenschoolt , en Idaes steilheid leven vinden mens , daar doen berg een openen uitzicht hebben Op deze heuveltop : ontallijckheyd vinden fielt In zijn ' cipres , en geboge takken kriel , En beven in doen blad .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.15	Wat isser een gewoel !	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.16	Een ieder hebben zijn witten : deze dragen zien stillen , en koelen In het weereldlijck beloop , nog ' weten wat hij zullen wensen , En om te kijken volgen slechts het spoor vinden ander mens : Die braken zijn ' gal , en scharpt zijn tong gelijk een peil , En bootsen in het spreken naar de priesterlijcken stijl , En schelden , en zijn vol vuur , en groeien in zijn naast schennis , En worden al helen berijden vinden ijver zonder kennis , En dor naar ' et edel bloeden : een ander ruim zo flauw In tegenyveren , uit vrees vinden hebben grauw , zien intomen , en mede rouw hebben treurspel komen bekijken , En het voorspellen tot bederven de europees rijk : Een enig zwijger wegen doen wereld in een schaal , zijn volk zotternij belacht , en treuren om zijn lijden kwaal .	Fear_Emotion_Sadness
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.17	doen dom menigte haar hand t'samen klap , mede die hij alles een leeuw grootmoedig aen komen stap , En klimmen de heuvel op , eer die hij iemand vergen : En staande op het opperst , na het rijzen bergen die statig aanzicht wenden , waar met hij onbezweken plegen in Mycenens zadel voor het heilig rechte te spreken , En voor de Griecxschen staat te ding mede zijn ' tong .	None
vond001pala01_01.TEI.2.text.body.div.sp.3223.s.18	hebben nieuwsgierig volk , door zijn man vrijpostig wees , hangen In twijfelen , of hij mede de hals zijn ' schuld zullen boete , Dan ofmen door genadig hebben vonnissen zullen verzoeten .	None
vond001pala01_01.TEI.2.text.body.div.sp.3229.s.1	ik ' barsten die kloppen , en schrikken mijn aendacht breken , en storen : Doch vaar gij niet te minnen mede u ' vertelling voor .	Fear_Emotion_BodyPart_BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.1	zo staande in t'openbaer , mede opgerechten hoofd , nul mennen , zeggen hij , of uw heusheyd nooit geloven Al het geren doen valscheyd hebben vinden landverraeder dichten , die wassen ik hart wensen . ik hebben volgens mijn plegen gans vrome , en ongeveinsd , en openlijk handelen , En sterven een oprichten griek , gelijk ik hebben wandelen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.2	uit hebben hij , alles daar op vinden wedersyden hij doen priester bij doen god verbaden mede hunn ' stemmen , En steenden overluid .	None
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.3	naar et sluiten de bidden zo weeckense af verbaasd , en gaaf zien beneden .	None
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.4	hij mede zijn dienaers helpen , troosten , en wel te moede , bereiden zien te dood , en tot doen middel toen , te half lijf naakt , in het uytterst vinden zijn leiden , zijn ' lijfknecht oorlof geven , die treurig treden te zijden , naar d'alderjongsten dienst .	Emotion_Sadness
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.5	daar staan doen deugd geciert mede waar onnooselheyd , vinden het lelijk ongedierte Begrenen en begrimt .	None
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.6	doen Beestelijcke krijger vinden mens nu veraerd in Luyperden , en tijger , vinden redelijkheid ontkleden , bezitten vinden doen wraak , En fel razernij , bevangen een graeger smaak Na'et goddelijk bloeden .	Emotion_BodilyProcess_Anger_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.7	zijde knarsten op doen tand .	BodyPart_BodilyProcess_Anger
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.8	doen gramschap saghmen uit hunn ' dreygende oog brand : Die gloeien vreselijk , gelijk alles kool vuur : En nu verkroppen vinden toorn , ontsint , en vol getier , En vloeckens , alles de haten hunn ' klacht hebben slijpen , doen gruwelijk beul , en duivel steen grijpen , En blixemden mede macht op deze vrome vorst .	Fear_Emotion_EmotionalAction_Hatred_BodyPart_BodilyProcess_Anger_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.9	ik zien de eerst stenen afstuiten vinden zijn ' barsten : de tweede vinden de slaap sijns hoofds , en horen klinken de slag vinden het beckeneel .	None
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.10	terstond vergaan hij het blinken vinden het eerlijk silverhayr .	None
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.11	die achtbaere gelaat waard jammerlijk vinden bloed besprenckert , en begaan .	None
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.12	mede zedig hij swijmend neder .	None
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.13	doen godvergeten boef Die hagelen zo langen , tot dat hij gans begraven , En smoorden door het gewicht vinden steen meer en meer .	None
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.14	gelijk alles Bacchus rijden gaan raesende te kaar de zoet Harpenaer , die vogel kosten lok , En dier , en het geboomte , mede toorts steen stokken : En morselden zijn vlees mede allerlei geweer : zodanig wassen hebben einde vinden deze wijze Heer : alles het roekeloos volk toevliegende , op gaan krabblen hebben bloedig puin , en om doen wreed steen grabbelen : deze uit nieusgierigheyd , en die uit encklen haten , Op die zijn dolligheyd , en moordlust waard versaed .	Emotion_Hatred
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.15	velen dooptender in het bloeden doen vochtbesweete doek , En wrong het uit in wijn , en zuipen het op mede vloek , En nood juychend tot d'onmenschelijcke feest Hunn ' spitsbroeder , vinden die God , en zelf tuymelgeest drijven en geraken .	None
vond001pala01_01.TEI.2.text.body.div.sp.3286.s.16	de Hemel stroock u ' zin mede troosten , om door dulden die onheyl te verwinnen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3301.s.1	Grootvader legtge dood in d'afgrond , nog ' voelen u ' godheid het ongelijk uw naneef .	None
vond001pala01_01.TEI.2.text.body.div.sp.3301.s.2	komen en spoelen , En was hebben aerdrijck weer vinden d'oude gruwel vlek .	None
vond001pala01_01.TEI.2.text.body.div.sp.3301.s.3	u ' gramschap kosten wel eer de berg kruin dekken , En tot u broeder wraak , doen mens en hebben vee [ doel Pyrrhe en haar gemaal niet zien alles baar zee ] Verdrencken , en verdoen : u hoofd nu op wild steken En tonen u log nog ' traag , om straffen en streng te wreken uw zelf , en uw bloeds lijden smaad , en honen .	Offended_Emotion_EmotionalAction_Shame_Anger_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.3301.s.4	komen handhaven u geslaght , en d'oude sluyerkroon vinden Koning Nauplius : op dat door uw oordelen nog blijk , die Godensaed hebben boven ander voordeel .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.3304.s.1	NEP .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.1	ik zoon , die het broederlijk en deerlijk ongeluk Besteent , scheppen moede , en tomen , en matig uw druk .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.2	zijn ' dood zo onverdient , alles staat , en landbederflijck , roepen wraak , en maken zijn ' nader roemruchtbaer , en onsterfelijk .	Emotion_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.3	doen dapper Ajax en Achilles blijven stout bewaarder vinden hebben lijk , tot datmen namaels hout zijn uitvaart , alles zijn as mede traan worden begieten , vinden Cadmus burgerij , doen schreyende Boeoten : Wanneer doen toeloop vinden het bij hij verdedigen volk zijn ' sterfelijkheid verselt te onderaerdsche kolk , Verwelft mede elpenbeen , verdeckt mede marmorsarcken : daar Themis antwoord geven , en in haar kerk de kerk hebben wierook voor haar smoken .	BodilyProcess_Sadness
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.4	dicht aen doen voeren vinden d'Aenbedelijcke maagd , ik deze groot manna Een goud pronckbeeld rechte .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.5	doen Griecxsche Ionffers brengen , En leen tot deze ' praal haar afgestreecke ring .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.6	Alreede zien ik staan de heilig half naakt , vrijpostig alles een held , die voor doen vrijheid waken : betekenen door de hoeden , bewaren zo sorrighvuldigh mede d'eene : d'andre hand , aen Trojens gouden onschuldig , d'Handvesten , toevertrout het gewijd perkament , En segels gade slaan , op dat niemand schenden .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.7	d'Eerwaerdige god zijn man deugd schijnen te vier , En dekken zijn ' grijs kop mede haylige laurier : Terwijl hij vreselijk lijf en leven worden ontseyd vinden het grimmig ongedierte : op zijn onnooselheyd [ matten vinden ouderdom en veertighjaerigh worstelen ] alles op een ' vet roven mede opgesteecke borstel , mede manen vers schudden , en muil opgespart , bijten , en verbit .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.8	zijn fier moede die tarten het Vierspouwen vinden de draak , een onrust zijn eeuw , hebben huilen vinden de Wolf , hebben brullen vinden de Leeuwe , het Schuymbeckende everzwijn , hebben na geloei de Stiers , hebben grijnzen vinden de Beer , het gebriesch een Tygerdiers , En zijn luipaard tantgeknars .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.9	zo leven zijn ' faam doen jaar En eeuw door in spijt de vadermoordenaar : Die feniks sijner tij en hoe doen nijd meer bassen , Hoe minderen hij vertsaeght , hoe hoog die hij wassen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.10	het zijn billijk die zijn roemen , en lof te graaf uit zwellen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.11	AEolien hij wijd , en haylight een kapel , En jaergetydigh feest : en zetten op het oog outaer zijn ' beeltenis mede zang , en deftig kerckgebaer .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.12	doen priester mede hunn ' plegen , en blinken gewaad hij offrende , halen op zijn heerlijk daad ; mare groots zijn het jammer , en beschreylijck het ongeval , het welk om een vrome ziel gans griek treffen zullen : groots zijn d'ellende daar zijn hater zien in wikkelen ik neef u Vader goed mede geil min prikkelen de Koninginnen , en prinses eenzaam bed : weer bruidegom doen krijgen voor Trojen hout verletten : weer poeselachtigh vlees , door het lang ontberen , welig , doen wellust kiezen voor schamen , en dragen zien overspeeligh : En helen zijn ' kitteling , en lonken , en strelen , en kussen : En onderling branden mede zoet omhelzen blussen : Versmaed de mennen trouwen , om het puik de jongeling .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.13	d'Oneerelijcke galmen vinden spel , dansen , zingen , Door het gunnen welfsel rollen : en Venus stroyter het zaad Om neerslag , bloeden , en moord , en allerhande kwaad , Om traan , en gehuyl te made , en te oegden : Om vorst , en vorstendom ; en rijk te verwoesten : En het dolen overschot , mede twyfelige stappen , Te zenden over zee , en zand in ballingschap , zo ver , en zo uitheems , die nieuwsgierig het volk komen gape , En dutten of het mens zijn , of zeker slag vinden aepen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.14	Achillis gramschap slacht Thersites mede een ' vuist .	Emotion_EmotionalAction_BodyPart_Anger
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.15	doen moord slaan Diomeed voor Trojen . het water bruisen , En raken aen het zieden , alles ik grimmigheyd verbolgen haar ' vinden vinden zien steken : waar op doen storm volgen , Die Agamemnon in hebben karn mede zijn vlieden Afeyschen rekening vinden Palamedes dood , En het bloeden ik bloedverwants : en pijnigen het gewis de fel moordenaar : die enckle duysternissen , mede rood straal vuur , en krom bliksem zien Gespouwen , en doorklooft : en mede zijn oor niet alles schor donder horen , en ysselijcke slag : En drijven onwetend naar Samos door doen vlaag , In het eeuwig schuymend graf vinden Icarus en loven de zaligen Priaem voor het oog outaer onthoofd : vergeven zijn ' segefeest : en vangen , vol schricx en bevens , mede zijn gehoor het gekraak vinden steven tegen steven , vinden zijden tegen zijde , scheepskiel tegen kiel .	Fear_Emotion_BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.16	de vader Nauplius mede smarten verkroppen ziel , Die op d'Eubeer kussen het weerkeeren vinden doen griek Alree ruiken hebben , een ' fakkel doen ontsteken , En liggen in zee vinden het slot : die steil , en hooghgebout , Op zijn bergs verheven kruin , vinden wederzijds beschouwen , Een ' baar Zee : weer diep , en hol water woelen , d'Eylanden alleszins , en vast grond bespoelen .	Emotion_BodyPart_BodilyProcess_Sadness
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.17	doen stuurlien vinden doen vlieden , verlokken door deze toorts , zien geven derwaarts aen : daerse al te saemen voorts , In plaats vinden doen node , en lijfsgevaer t'ontslippen , verval in het gedruis de Caphareesche kleppen , En het luiden gehuyl vinden zo verbolgen vloed , Die stadig branden , en op doen blind kleppen woeden .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.18	daar hout gerecht wraak d'ontrampeneerde schip verletten , door het scherp gesteente , alles vinden haar hand grijpen : Of mede een ' dijk bewelt vinden zand , die half drijven , En door gebrek vinden vloed heen slopen , en stuk wrijven , Of achter driftig , voor stranden op harden kauw : Of stootse aen splinter door de draeystroom , in hebben zwaaien .	Emotion_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.19	doen schipper vloek d'onherbergelijcke rijden , En haten het droog landen , en roep om doen zee : wie hees , en schor keel , door het na gehuyl de mens [ die ijdel en vergeefs mede bedeloft , en wensen ik ' gramschap paaien willen ] worden over het vlek verdoofd .	Emotion_Hatred_BodilyProcess_Despair_Anger
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.20	Ulysses evenwel , en het wrongkroondraegende Hoofd Ontslippen deze gevaar , sparen tot leed treurspel : daar gener schipbreuk vinden het voorspoocksel zijn , en het voorspel .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.21	ik zien Clytemnestre alree geveynsdelijck en blij , Onthaelen haar ' gemaal : en Argos burgerij haar ' vorst mede waar vreugde begroten , en ontvangen .	Joy_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.22	doen luchten slaan worden mede fluit , en gezang .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.23	doen kerk gaan te feest .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.24	doen Koninglijcke zadel worden statig toerusten , mede overdaad vinden praal .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.25	banket rechtmen aen , hoedanig voor hunn ' traan doen jong maaltijd wassen de blijde Phrygiaenen .	Joy_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.26	hebben tafelbedde blinken vinden het Iliasche paars , En zijn purpers glans vermaard bij toorts , en wassekaers .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.27	het gouden vinden Assaracus verzwelgen doen Griecxsche wijn , En god lekkernij .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.28	doen kop vol robijn hebben sterfelijk gezicht , en d'oogen schemeren doel .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.29	het gouden recht'er wildbraed aen , en pauw , en kalkoen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.30	hij zelf liggen oog , en prat , en munten door zijn cieraeden Voor ander uit , mede bonten en spicklige gewaad , En dragen aen het lijf doen plegen , en kleding vinden Priaem .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.31	zijn eegemael bezweren hij bij zijn verwinnaers nader , die hij het versiersel doch sijns vijand af willen liggen , Voor betre wisseling : liggen zijn hij te geseggen , Om het handwerk aen te doel de lief bedgenoot : onkundig vinden het gevaar de koorts aanstaande dood .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.32	verschrikken nog ziddert niet .	Fear_BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.33	een balling om zullen brengen de Vorst de koning : een overspeelder plengen , En spil het bloeden een man .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.34	zijn ' slachting zullen geschien .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.35	hebben jong dischgerecht zijn ' Heer zullen bloed zien : hebben rood vechten de wijn bespatten : zijn Konings leven vinden Argos Koningin te nederlaag worden geven .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.36	hebben aantijgen kleden die weygerd en ontseyd Syne hand doorgang : dies hij swoeght en arbeid En luchten zoeken : mare vergeefs .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.37	doen schieten ruim vinden vouw , En zonder opening zijn hoofd besluiten houden .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.38	doen suffert gans verwijven hij in doen lende steken : mare overmits doen moede in het kwetsen hij ontbreken , hebben mest half keren .	None
